ES_MAIN_NOISE,ES_MAIN_GAIN_40,ES_MAIN_GAIN_60,ES_MAIN_GAIN_LOW,ES_MAIN_BW,SS_AOUT1_NOISE,SS_AOUT1_GAIN_40,SS_AOUT1_GAIN_60,SS_AOUT1_GAIN_LOW,SS_AOUT1_BW,SS_ADC1,SS_AOUT2_NOISE,SS_AOUT2_GAIN_40,SS_AOUT2_GAIN_60,SS_AOUT2_GAIN_LOW,SS_AOUT2_BW,SS_ADC2
0.13480926124454162,-40.9133193211687,-60.86035521438147,-53.87221004811813,"[-55.23498151538905, -54.68334072362708, -60.8887291177001]",0.13412406111248748,-39.48676957351239,-59.43695165540625,-50.79625966819936,"[-54.889667006501796, -54.100816704256644, -60.930948374197385]",1.5504486357809926,0.13133780410279808,-39.63532091764663,-59.68516083373775,-51.089565711382654,"[-55.39078606743142, -54.23546723658881, -61.23860594048595]",1.548983702618568
0.1734582043520558,-40.77717142993635,-60.83988530738357,-53.87425221216516,"[-55.20296758795727, -54.767635722010944, -60.87640846668822]",0.1308060263473772,-39.53510244733751,-59.447366518064044,-50.7761784305077,"[-54.94785085873734, -54.10802288812021, -60.932171367795135]",1.5500824024903863,0.13216868379874744,-39.62685318120234,-59.74581776754953,-51.075291617682616,"[-55.35496137943614, -54.227239560536155, -61.25886058238841]",1.549349935909174
0.1110980159868091,-40.831058165389145,-60.855242427211344,-53.83709412920632,"[-55.16192500459142, -54.75306450845089, -60.879573361865425]",,,,,,,,,,,,
0.15610110920919923,-40.85114161789007,-60.87901346339667,-53.8878806170511,"[-55.04180188351975, -54.742734020709364, -60.90658517034831]",0.12663448502437735,-39.523031094092886,-59.400753680492656,-50.827230688951055,"[-55.09445102596417, -54.1202230304846, -60.90234919837113]",1.5498992858450833,0.1502988147059889,-39.574116134734226,-59.735619115434666,-51.164978936536684,"[-55.36590083326567, -54.225883948011706, -61.26276029406651]",1.5497161691997803
0.1608605417969252,-40.91438936089142,-60.916857400928265,-53.91562850252423,"[-54.96523062600553, -54.73996000116852, -60.888010375555545]",0.13988170412455894,-39.54505951859863,-59.43440177539361,-50.74463761258852,"[-54.91262491525758, -54.123098468978526, -60.932974654751376]",1.548983702618568,0.14142567328018246,-39.58911881187285,-59.70523467803858,-51.089832308840286,"[-55.21278437521714, -54.22024834499052, -61.24910109753556]",1.5509979857169016
0.1519448783006447,-40.9332360536309,-60.91245909711246,-53.80821810336677,"[-54.997755906309095, -54.72741346081306, -60.898623885788254]",0.14742621219997487,-39.52011907796869,-59.47113081832558,-50.8205046169562,"[-54.89918382290921, -54.11380085495214, -60.92461192675253]",1.5500824024903863,0.14319552560078144,-39.62021812240789,-59.69587460552823,-51.07206898874999,"[-55.300149583612495, -54.229747006690815, -61.24575966726886]",1.548434352682659
0.1469890253559359,-40.93835341014321,-60.89987493783951,-53.82858582092072,"[-55.03581041736243, -54.75726469093654, -60.916864145210155]",0.14174504470184188,-39.516984313013495,-59.41462894347913,-50.832510870438924,"[-55.020703172116484, -54.1124508243722, -60.93886839152751]",1.548800585973265,0.1315805038359285,-39.493353825532175,-59.71740690709588,-51.150785525543114,"[-55.3601974927572, -54.22955837478174, -61.26190645653574]",1.549166819263871
0.12083770526896281,-40.93485318635057,-60.93915103074209,-53.86029567996231,"[-55.195114423475076, -54.760351807950585, -60.88386399237683]",0.13258504919808822,-39.52186930918814,-59.43445386946871,-50.82238113797415,"[-54.99654132148584, -54.15025450530514, -60.970461982978264]",0.0,,,,,,
0.09161894860387709,,,,,,,,,,,,,,,,
0.1385037660405083,-40.87465285055703,-60.90483911858505,-53.87524151458968,"[-55.218446354899804, -54.75220882185199, -60.90815386266748]",0.1407538796151814,-39.52999106357328,-59.434361869036664,-50.88741947084436,"[-54.98803082720677, -54.15054603820181, -60.92621629802601]",0.0,,,,,,
0.15853862164329796,-40.930785527908014,-60.86529022027163,-53.916694306580524,"[-55.080393815680715, -54.77510739077972, -60.84755137532008]",0.12570797389016605,-39.602219573488384,-59.45996648878565,-50.84724356236411,"[-54.954633251215924, -54.132008399488065, -60.97285150547235]",1.548983702618568,0.1520230922923457,-39.60221810232523,-59.72825320807463,-51.135431406338554,"[-55.26220410758448, -54.254252031931856, -61.23279872033766]",1.549166819263871
0.1704610430923229,-40.89422281181829,-60.852003642513466,-53.91932711211362,"[-55.09814990119696, -54.80012503307756, -60.89953766156767]",0.13770989878210543,-39.52157384237741,-59.45411713669026,-50.85316521437975,"[-54.842345472538305, -54.13347467497877, -60.96833153471981]",1.548800585973265,0.1298340760782151,-39.55011093015548,-59.730999680752284,-51.12030321246487,"[-55.368955679263685, -54.251076966641804, -61.22610509537327]",1.548617469327962
0.14796826334840527,-40.84175808102997,-60.893425635477705,-53.86597719612848,"[-55.25571466703119, -54.75385717372156, -60.87517031970201]",0.12500346839216622,-39.550479847642535,-59.43894982409168,-50.85181896458095,"[-54.868367139929006, -54.14276482756144, -60.98350315216243]",1.549166819263871,0.144611851008092,-39.61367475850824,-59.727220517387835,-51.132522305609584,"[-55.236545690587036, -54.24423232782245, -61.2213833356762]",1.5497161691997803
0.13639870464681106,-40.8519614103561,-60.91838567115496,-53.9716245472752,"[-55.078027585033304, -54.744596452204746, -60.900616806472144]",0.13314109073286023,-39.53148868588961,-59.410983735952996,-50.82774757698,"[-54.96603020025546, -54.13486701825063, -60.94111329423626]",1.5495330525544773,0.14335646698463744,-39.62975489665179,-59.708576343584745,-51.101894585751744,"[-55.18714158872683, -54.239343067642906, -61.218838633936564]",1.549349935909174
0.13004650710020432,-40.85955861351533,-60.82854235565108,-53.90465997752976,"[-55.0218733955671, -54.74262180027482, -60.852899330410715]",0.15033852063767916,-39.61019422680885,-59.43593002193328,-50.774834407977814,"[-54.98419643413584, -54.13336968562558, -60.966217111434915]",1.5497161691997803,0.11089590814098679,-39.599131312801696,-59.755273859612345,-51.158738920895495,"[-55.359063527903835, -54.25415514511785, -61.256408516645735]",1.5497161691997803
